manuscript_citekey	detagged_citekey	standard_citekey	short_citekey
doi:10.1016/j.chom.2019.08.018	doi:10.1016/j.chom.2019.08.018	doi:10.1016/j.chom.2019.08.018	fK2md3DI
doi:10.1016/j.cub.2015.04.007	doi:10.1016/j.cub.2015.04.007	doi:10.1016/j.cub.2015.04.007	86EfjHO2
doi:10.1038/nature10549	doi:10.1038/nature10549	doi:10.1038/nature10549	1AkUQBPuG
doi:10.1038/nature12323	doi:10.1038/nature12323	doi:10.1038/nature12323	1EJZxEzq1
doi:10.1038/nature12921	doi:10.1038/nature12921	doi:10.1038/nature12921	YBHwLDej
doi:10.1038/nature13591	doi:10.1038/nature13591	doi:10.1038/nature13591	oasyTY16
doi:10.1038/nature21674	doi:10.1038/nature21674	doi:10.1038/nature21674	s3l2F2ef
doi:10.1038/nature25738	doi:10.1038/nature25738	doi:10.1038/nature25738	aSy3Srju
doi:10.1038/nbt.3820	doi:10.1038/nbt.3820	doi:10.1038/nbt.3820	4XDvZWxk
doi:10.1038/ng.2906	doi:10.1038/ng.2906	doi:10.1038/ng.2906	10wcktDCE
doi:10.1038/s41467-019-13549-9	doi:10.1038/s41467-019-13549-9	doi:10.1038/s41467-019-13549-9	NXcxgeob
doi:10.1038/s41586-018-0094-2	doi:10.1038/s41586-018-0094-2	doi:10.1038/s41586-018-0094-2	tAnEwrSn
doi:10.1038/s41586-018-0097-z	doi:10.1038/s41586-018-0097-z	doi:10.1038/s41586-018-0097-z	CNvvxsK7
doi:10.1038/s41587-020-0439-x	doi:10.1038/s41587-020-0439-x	doi:10.1038/s41587-020-0439-x	wq4G2CfQ
doi:10.1038/s42003-019-0399-1	doi:10.1038/s42003-019-0399-1	doi:10.1038/s42003-019-0399-1	10155v3VM
doi:10.1073/pnas.1812865115	doi:10.1073/pnas.1812865115	doi:10.1073/pnas.1812865115	1APjJqbjj
doi:10.1073/pnas.1901169116	doi:10.1073/pnas.1901169116	doi:10.1073/pnas.1901169116	7nLP30p0
doi:10.1093/molbev/msz264	doi:10.1093/molbev/msz264	doi:10.1093/molbev/msz264	WIkaempF
doi:10.1098/rstb.2013.0379	doi:10.1098/rstb.2013.0379	doi:10.1098/rstb.2013.0379	M0SKmPyu
doi:10.1126/science.aam9695	doi:10.1126/science.aam9695	doi:10.1126/science.aam9695	64ZHuA4N
doi:10.1186/s13059-016-0918-z	doi:10.1186/s13059-016-0918-z	doi:10.1186/s13059-016-0918-z	12TkhsLGD
doi:10.1371/journal.ppat.1006997	doi:10.1371/journal.ppat.1006997	doi:10.1371/journal.ppat.1006997	4YuC8sCQ
doi:10.7554/eLife.36666	doi:10.7554/eLife.36666	doi:10.7554/elife.36666	1HEgHFzOs
