manuscript_citekey	detagged_citekey	standard_citekey	short_citekey
doi:10.1016/j.cell.2015.10.009	doi:10.1016/j.cell.2015.10.009	doi:10.1016/j.cell.2015.10.009	1SX8gKlw
doi:10.1016/j.chom.2019.08.018	doi:10.1016/j.chom.2019.08.018	doi:10.1016/j.chom.2019.08.018	fK2md3DI
doi:10.1016/j.cub.2015.04.007	doi:10.1016/j.cub.2015.04.007	doi:10.1016/j.cub.2015.04.007	86EfjHO2
doi:10.1016/j.cub.2017.10.025	doi:10.1016/j.cub.2017.10.025	doi:10.1016/j.cub.2017.10.025	XFBeyZB9
doi:10.1038/nature10549	doi:10.1038/nature10549	doi:10.1038/nature10549	1AkUQBPuG
doi:10.1038/nature12323	doi:10.1038/nature12323	doi:10.1038/nature12323	1EJZxEzq1
doi:10.1038/nature12921	doi:10.1038/nature12921	doi:10.1038/nature12921	YBHwLDej
doi:10.1038/nature13591	doi:10.1038/nature13591	doi:10.1038/nature13591	oasyTY16
doi:10.1038/nature21674	doi:10.1038/nature21674	doi:10.1038/nature21674	s3l2F2ef
doi:10.1038/nature25738	doi:10.1038/nature25738	doi:10.1038/nature25738	aSy3Srju
doi:10.1038/nature25778	doi:10.1038/nature25778	doi:10.1038/nature25778	wT5SMjro
doi:10.1038/nbt.3820	doi:10.1038/nbt.3820	doi:10.1038/nbt.3820	4XDvZWxk
doi:10.1038/ng.2906	doi:10.1038/ng.2906	doi:10.1038/ng.2906	10wcktDCE
doi:10.1038/nmeth.1923	doi:10.1038/nmeth.1923	doi:10.1038/nmeth.1923	PiS0h6Mu
doi:10.1038/nmeth.2375	doi:10.1038/nmeth.2375	doi:10.1038/nmeth.2375	17zUqUTNA
doi:10.1038/nprot.2014.063	doi:10.1038/nprot.2014.063	doi:10.1038/nprot.2014.063	1H3banOxK
doi:10.1038/s41467-018-07483-5	doi:10.1038/s41467-018-07483-5	doi:10.1038/s41467-018-07483-5	KlTB2lhf
doi:10.1038/s41467-019-13549-9	doi:10.1038/s41467-019-13549-9	doi:10.1038/s41467-019-13549-9	NXcxgeob
doi:10.1038/s41559-017-0446-6	doi:10.1038/s41559-017-0446-6	doi:10.1038/s41559-017-0446-6	qDQBcgzB
doi:10.1038/s41559-019-0921-3	doi:10.1038/s41559-019-0921-3	doi:10.1038/s41559-019-0921-3	6MKvilVe
doi:10.1038/s41586-018-0094-2	doi:10.1038/s41586-018-0094-2	doi:10.1038/s41586-018-0094-2	tAnEwrSn
doi:10.1038/s41586-018-0097-z	doi:10.1038/s41586-018-0097-z	doi:10.1038/s41586-018-0097-z	CNvvxsK7
doi:10.1038/s41586-018-0455-x	doi:10.1038/s41586-018-0455-x	doi:10.1038/s41586-018-0455-x	qngWumct
doi:10.1038/s41587-020-0439-x	doi:10.1038/s41587-020-0439-x	doi:10.1038/s41587-020-0439-x	wq4G2CfQ
doi:10.1038/s41592-018-0046-7	doi:10.1038/s41592-018-0046-7	doi:10.1038/s41592-018-0046-7	sYguBb3Q
doi:10.1038/s42003-019-0399-1	doi:10.1038/s42003-019-0399-1	doi:10.1038/s42003-019-0399-1	10155v3VM
doi:10.1073/pnas.0704665104	doi:10.1073/pnas.0704665104	doi:10.1073/pnas.0704665104	dbfFgAgr
doi:10.1073/pnas.1318934111	doi:10.1073/pnas.1318934111	doi:10.1073/pnas.1318934111	lh0Dclyl
doi:10.1073/pnas.1710186114	doi:10.1073/pnas.1710186114	doi:10.1073/pnas.1710186114	ZMf8LvSn
doi:10.1073/pnas.1812865115	doi:10.1073/pnas.1812865115	doi:10.1073/pnas.1812865115	1APjJqbjj
doi:10.1073/pnas.1901169116	doi:10.1073/pnas.1901169116	doi:10.1073/pnas.1901169116	7nLP30p0
doi:10.1093/bioinformatics/btp324	doi:10.1093/bioinformatics/btp324	doi:10.1093/bioinformatics/btp324	roi5bwXL
doi:10.1093/bioinformatics/btp352	doi:10.1093/bioinformatics/btp352	doi:10.1093/bioinformatics/btp352	IPc8cy7s
doi:10.1093/bioinformatics/btp698	doi:10.1093/bioinformatics/btp698	doi:10.1093/bioinformatics/btp698	1AzMUkwox
doi:10.1093/bioinformatics/btq033	doi:10.1093/bioinformatics/btq033	doi:10.1093/bioinformatics/btq033	1HWiAHnIw
doi:10.1093/bioinformatics/btr347	doi:10.1093/bioinformatics/btr347	doi:10.1093/bioinformatics/btr347	Rhiz5BNL
doi:10.1093/bioinformatics/btt193	doi:10.1093/bioinformatics/btt193	doi:10.1093/bioinformatics/btt193	14YGEdSwc
doi:10.1093/bioinformatics/btv566	doi:10.1093/bioinformatics/btv566	doi:10.1093/bioinformatics/btv566	O3E8cbBW
doi:10.1093/bioinformatics/btw354	doi:10.1093/bioinformatics/btw354	doi:10.1093/bioinformatics/btw354	U9WbDW7I
doi:10.1093/bioinformatics/bty560	doi:10.1093/bioinformatics/bty560	doi:10.1093/bioinformatics/bty560	pt9vlq4w
doi:10.1093/molbev/msz264	doi:10.1093/molbev/msz264	doi:10.1093/molbev/msz264	WIkaempF
doi:10.1098/rstb.2013.0379	doi:10.1098/rstb.2013.0379	doi:10.1098/rstb.2013.0379	M0SKmPyu
doi:10.1101/050559	doi:10.1101/050559	doi:10.1101/050559	194vI7Tnf
